"name","link","image_path","category"
"COLLUSION baggy carpenter jeans in navy cord","https://www.asos.com/collusion/collusion-baggy-carpenter-jeans-in-navy-cord/prd/207300729#colourWayId-207300731","https://images.asos-media.com/products/collusion-baggy-carpenter-jeans-in-navy-cord/207300729-1-navy","Bottom"
"ASOS DESIGN 3 pack waterproof stainless steel band ring set with texture in black and silver tone","https://www.asos.com/asos-design/asos-design-3-pack-waterproof-stainless-steel-band-ring-set-with-texture-in-black-and-silver-tone/prd/207329146#colourWayId-207329147","https://images.asos-media.com/products/asos-design-3-pack-waterproof-stainless-steel-band-ring-set-with-texture-in-black-and-silver-tone/207329146-1-silver","Top"
"ASOS DESIGN rope ring in burnished silver tone","https://www.asos.com/asos-design/asos-design-rope-ring-in-burnished-silver-tone/prd/207329151#colourWayId-207329152","https://images.asos-media.com/products/asos-design-rope-ring-in-burnished-silver-tone/207329151-1-silver","Others"
"Hollister icon short sleeve polo top in pine green","https://www.asos.com/hollister/hollister-icon-short-sleeve-polo-top-in-pine-green/prd/207355899#colourWayId-207355907","https://images.asos-media.com/products/hollister-icon-short-sleeve-polo-top-in-pine-green/207355899-1-pinegreen","Top"
"Hollister Mclaren long sleeve rugby polo in orange","https://www.asos.com/hollister/hollister-mclaren-long-sleeve-rugby-polo-in-orange/prd/207356252#colourWayId-207356265","https://images.asos-media.com/products/hollister-mclaren-long-sleeve-rugby-polo-in-orange/207356252-1-autumnorange","Others"
"Hollister varsity bomber jacket with back print in green","https://www.asos.com/hollister/hollister-varsity-bomber-jacket-with-back-print-in-green/prd/207356478#colourWayId-207356481","https://images.asos-media.com/products/hollister-varsity-bomber-jacket-with-back-print-in-green/207356478-1-green","Outerwear"
"PS Paul Smith multi stitch belt in black","https://www.asos.com/ps-paul-smith/ps-paul-smith-multi-stitch-belt-in-black/prd/207383223#colourWayId-207383228","https://images.asos-media.com/products/ps-paul-smith-multi-stitch-belt-in-black/207383223-1-black","Others"
"Ed Hardy cross and rose thorn crucifix fine chain necklace in silver","https://www.asos.com/ed-hardy/ed-hardy-cross-and-rose-thorn-crucifix-fine-chain-necklace-in-silver/prd/207414007#colourWayId-207414008","https://images.asos-media.com/products/ed-hardy-cross-and-rose-thorn-crucifix-fine-chain-necklace-in-silver/207414007-1-silver","Others"
"Ed Hardy logo chain necklace in silver","https://www.asos.com/ed-hardy/ed-hardy-logo-chain-necklace-in-silver/prd/207414010#colourWayId-207414011","https://images.asos-media.com/products/ed-hardy-logo-chain-necklace-in-silver/207414010-1-silver","Others"
"GANT striped logo rugby shirt in navy","https://www.asos.com/gant/gant-striped-logo-rugby-shirt-in-navy/prd/207458344#colourWayId-207458345","https://images.asos-media.com/products/gant-striped-logo-rugby-shirt-in-navy/207458344-1-eveningblue","Top"
